유형,어휘,뜻풀이
고유어,맏물,"과일, 푸성귀, 해산물 따위에서 그해의 맨 처음에 나는 것."
고유어,매나니,"무슨 일을 할 때 아무 도구도 가지지 아니하고 맨손뿐인 것,"
고유어,맥쩍다,심심하고 재미가 없음 / 열없고 쑥스러움.
고유어,머드러기,"과일이나 채소, 생선 따위의 많은 것 가운데서 다른 것들에 비해 굵거나 큰 것 / 여럿 가운데서 가장 좋은 물건이나 사람."
고유어,모지락스럽다,보기에 억세고 모질다.
고유어,몽니,받고자 하는 대우를 받지 못할 때 내는 심술. = 몽니가 사납다.
고유어,무녀리,한 태에 낳은 여러 마리 새끼 가운데 가장 먼저 나온 새끼 / 말이나 행동이 좀 모자란 듯이 보이는 사람.
고유어,무드럭지다,한데 수북이 쌓여 있거나 뭉쳐 있다.
고유어,묵새기다,별로 하는 일 없이 한곳에서 오래 묵으며 날을 보냄 / 마음의 고충이나 흥분 따위를 애써 참으며 넘겨 버림.
고유어,뭉근하다,세지 않은 불기운이 끊이지 않고 꾸준하다.
고유어,바람서리,폭풍우로 말미암아 농업이나 어업 따위가 받는 피해
고유어,바투,두 대상이나 물체의 사이가 썩 가깝게 / 시간이나 길이가 아주 짧게.
고유어,벼리다,무디어진 연장의 날을 불에 달구어 두드려서 날카롭게 만듧 / 마음의나 의지를 가다듬고 단련하여 강하게 함.
고유어,비거스렁이,비가 갠 뒤에 바람이 불고 기온이 낮아지는 현상.
고유어,비설거지,"비가 오려고 하거나 올 때, 비에 맞으면 안 되는 물건을 치우거나 덮는 일."
고유어,빗밑,비가 그치어 날이 개는 속도.
고유어,빨,일이 되어 가는 형편과 모양.
고유어,사박스럽다,성질이 보기에 독살스럽고 야멸친 데가 있다.
고유어,사위다,불이 사그라져서 재가 되다.
고유어,사위스럽다,마음에 불길한 느낌이 들고 꺼림칙하다.
고유어,새살스럽다,성질이 차분하지 못하고 가벼워 말이나 행동이 실없고 부산한 데가 있다.
고유어,선웃음,우습지도 않은데 꾸며서 웃는 웃음.
고유어,성기다,물건의 사이가 뜨다.
고유어,소소리바람,이른 봄에 살 속으로 스며드는 듯한 차고 매서운 바람.
고유어,손방,아주 할 줄 모르는 솜씨.
고유어,손사래,어떤 말이나 사실을 부인하거나 남에게 조용히 하라고 할 때 손을 펴서 휘젓는 일. = 손사래를 치다.
고유어,수더분하다,성질이 까다롭지 아니하여 순하고 무던하다.
고유어,스산하다,몹시 어수선하고 쓸쓸함 / 마음이 가라앉지 아니하고 뒤숭숭함.
고유어,습습하다,마음이나 하는 짓이 활발하고 너그럽다.
고유어,시나브로,모르는 사이에 조금씩 조금씩.
고유어,쏘개질,있는 일 없는 일을 얽어서 일러바치는 짓
고유어,아람,밤이나 상수리 따위가 충분히 익어 저절로 떨어질 정도가 된 상태. 또는 그런 열매.
고유어,안차다,겁이 없고 야무지다.
고유어,알근알근,매워서 입 안이 매우 알알한 느낌 / 술에 취하여 정신이 매우 아렴풋한 느낌.
고유어,알겨먹다,남의 재물 따위를 좀스러운 말과 행위로 꾀어 뺴앗아 가지다.
고유어,앙짜,앳되게 점잔을 빼는 짓 / 깐깐하게 행동하고 몹시 끈덕지게 샘을 내는 짓 또는 그런 사람.
고유어,애오라지,겨우 / 오로지 를 강조하여 이르는 말
고유어,얼맞다,"일정한 기준, 조건 정도 따위에 지나치게 넘치거나 모자라지 아니한 데가 있다."
고유어,엉너리,남의 환심을 사기 위하여 어벌쩡하게 서두르는 짓.
고유어,옴니암니,아주 자질구레한 것.
고유어,옹골지다,실속이 있게 속이 꽉 차 있다.
고유어,옹골차다,매우 옹골지다.
고유어,우수리,물건값을 제하고 거슬러 받는 잔돈 / 일정한 수나 수량에 차고 남는 수나 수량
고유어,울력다짐,여러 사람이 힘을 합하여 일을 빠르고 시원스럽게 끝냄. 또는 그런 기세.
고유어,윤슬,햇빛이나 달빛에 비치어 반짝이는 잔물결.
고유어,을밋을밋,기한이나 일 따위를 우물쩍거리며 잇따라 미루는 모양 / 자기의 책임이나 잘못을 우물우물하며 넘기려고 하는 모양
고유어,의뭉하다,겉으로는 어리석은 것처럼 보이면서 속으로는 엉큼하다.
고유어,이드거니,충분한 분량으로 만족스러운 모양.
고유어,이울다,꽃이나 잎이 시듦 / 점점 쇠약해짐.
고유어,입찬말,자기의 지위나 능력을 믿고 지나치게 장담하는 말.
고유어,자닝하다,애처롭고 불쌍하여 차마 보기 어렵다.
고유어,자리끼,밤에 자다가 마시기 위하여 잠자리의 머리맡에 준비하여 두는 물.
고유어,자못,생각보다 매우.
고유어,자발없다,행동이 가볍고 참을성이 없다.
고유어,작히,어찌 조금만 / 얼마나 의 뜻으로 주로 혼자 느끼거나 묻는 말에 쓰임.
고유어,재겹다,몹시 지겹다.
고유어,종요롭다,없어서는 안 될 정도로 매우 긴요하다.
고유어,즐비하다,빗살처럼 줄지어 빽빽하게 늘어서 있다.
고유어,지다위,남에게 등을 대고 의지하거나 떼를 씀 / 자기의 허물을 남에게 덮어씌움.
고유어,지레,어떤 일이 일어나기 전 또는 어떤 기회나 때가 무르익기 전에 미리.
고유어,지청구,아랫사람의 잘못을 꾸짖는 말 / 까닭 없이 남을 탓하고 원망함.
고유어,짜장,과연 정말로.
고유어,짬짬이,짬이 나는 대로 그때그때.
고유어,짬짜미,남모르게 자기들끼리만 짜고 하는 약속이나 수작.
고유어,청승맞다,궁상스럽도 처량하여 보기에 몹시 언짢다.
고유어,찬찬하다,"성질이나 솜씨, 행동 따위가 꼼꼼하고 차분하다."
고유어,철겹다,제철에 뒤져 맞지 아니하다.
고유어,추렴,모임이나 놀이 또는 잔치 따위의 비용으로 여럿이 각각 얼마씩의 돈을 내어 거둠.
고유어,토렴하다,밥이나 국수에 뜨거운 국물을 부었다 따랐다 하여 덥게 하다.
고유어,트레바리,이유 없이 남의 말에 반대하기를 좋아함. 또는 그런 성격을 지닌 사람.
고유어,티적티적하다,남의 흠이나 트집을 잡으면서 자꾸 비위를 거스르다.
고유어,파임내다,일치한 의논을 나중에 다른 소리를 하여 그르치게 하다.
고유어,푸성귀,사람이 가꾼 채소나 저절로 난 나물 따위를 통틀어 이르는 말.
고유어,푼더분하다,생김새가 두툼하고 탐스러움 / 여유가 있고 넉넉함 / 사람의 성품 따위가 옹졸하지 아니하고 활달함.
고유어,푼푼하다,모자람이 없이 넉넉하다.
고유어,하리놀다,남을 헐뜯어 윗사람에게 일러바침.
고유어,한밥,마음껏 배부르게 먹는 밥이나 음식 / 끼니때가 지난 뒤에 차리는 밥
고유어,한잠,잠시 자는 잠 / 깊이 든 잠
고유어,함초롬,젖거나 서려 있는 모습이 가지런하고 차분한 모양
고유어,함함하다,털이 보드랍고 반지르르함 / 소담하고 탐스러움.
고유어,해망쩍다,영리하지 못하고 아둔함.
고유어,해사하다,"얼굴이 희고 곱다랗다 / 옷차림, 자태 따위가 말끔하고 깨끗하다."
고유어,해찰,마음에 썩 내키지 아니하여 물건을 부질없이 이것저것 집적거려 해치는 행동 / 일에는 마음을 두지 아니하고 쓸데없이 다른 짓을 함.
고유어,허투루,아무렇게나 되는대로.
고유어,헛물켜다,애쓴 보람 없이 헛일로 되다.
고유어,호젓하다,후미져서 무서움을 느낄 만큼 고요하다.
고유어,희나리,채 마르지 아니한 장작.
고유어,흰소리,터무니없이 자랑으로 떠벌리거나 거드럭거리며 허풍을 떠는 말.


